,Away,Away_PTS,Home,Home_PTS,Margin,Away_SRS,Home_SRS
57,Oklahoma City Thunder,108,Portland Trail Blazers,96,12,2.79,-1.11
58,Minnesota Timberwolves,125,Los Angeles Lakers,142,-17,-3.78,7.75
59,Los Angeles Clippers,110,Indiana Pacers,99,11,6.74,1.61
60,Cleveland Cavaliers,88,Boston Celtics,110,-22,-7.57,5.69
61,Toronto Raptors,93,Chicago Bulls,92,1,5.88,-3.81
62,Sacramento Kings,119,Houston Rockets,118,1,-1.44,3.78
63,Orlando Magic,101,Milwaukee Bucks,110,-9,-0.85,10.44
64,Detroit Pistons,105,New Orleans Pelicans,103,2,-4.22,0.3
65,Minnesota Timberwolves,109,Phoenix Suns,125,-16,-3.78,-1.04
66,Oklahoma City Thunder,104,Utah Jazz,90,14,2.79,3.2
67,Memphis Grizzlies,110,Golden State Warriors,102,8,-1.05,-7.92
68,Washington Wizards,107,Charlotte Hornets,114,-7,-4.86,-6.88
69,Atlanta Hawks,121,Miami Heat,135,-14,-7.57,2.58
70,Denver Nuggets,92,Philadelphia 76ers,97,-5,3.02,2.22
71,New York Knicks,87,Portland Trail Blazers,115,-28,-6.55,-1.11
72,Houston Rockets,116,Cleveland Cavaliers,110,6,3.78,-7.57
73,Boston Celtics,117,Indiana Pacers,122,-5,5.69,1.61
74,Los Angeles Lakers,96,Orlando Magic,87,9,7.75,-0.85
75,Los Angeles Clippers,112,Toronto Raptors,92,20,6.74,5.88
76,Charlotte Hornets,113,Brooklyn Nets,108,5,-6.88,-1.18
77,Atlanta Hawks,102,Chicago Bulls,136,-34,-7.57,-3.81
78,Utah Jazz,127,Minnesota Timberwolves,116,11,3.2,-3.78
79,Memphis Grizzlies,115,Phoenix Suns,108,7,-1.05,-1.04
80,New Orleans Pelicans,112,Milwaukee Bucks,127,-15,0.3,10.44
81,Oklahoma City Thunder,93,Sacramento Kings,94,-1,2.79,-1.44
82,New York Knicks,124,Golden State Warriors,122,2,-6.55,-7.92
83,Philadelphia 76ers,115,Boston Celtics,109,6,2.22,5.69
84,Cleveland Cavaliers,117,San Antonio Spurs,109,8,-7.57,-1.19
85,Dallas Mavericks,122,Detroit Pistons,111,11,5.84,-4.22
86,Portland Trail Blazers,99,Denver Nuggets,114,-15,-1.11,3.02
87,Los Angeles Lakers,113,Miami Heat,110,3,7.75,2.58
88,Houston Rockets,130,Orlando Magic,107,23,3.78,-0.85
89,New Orleans Pelicans,109,Philadelphia 76ers,116,-7,0.3,2.22
90,Indiana Pacers,110,Atlanta Hawks,100,10,1.61,-7.57
